,f_humidity,f_wind_speed,f_solar_irradiance,f_wind_dir
2022-06-25 14:15:00,70.69258117675781,8.007372856140137,0.0,8.866791725158691
2022-06-25 14:30:00,71.7301254272461,8.016748428344727,0.0,10.306897163391113
2022-06-25 14:45:00,72.67919158935547,7.998635768890381,0.0,22.934741973876953
2022-06-25 15:00:00,73.46869659423828,7.91480827331543,0.0,29.6885986328125
2022-06-25 15:15:00,73.82121276855469,7.562458038330078,0.0,21.735122680664062
2022-06-25 15:30:00,74.70256042480469,7.29918098449707,0.0,14.897408485412598
2022-06-25 15:45:00,75.55126953125,7.058650493621826,0.0,10.738045692443848
2022-06-25 16:00:00,76.38591766357422,6.719833850860596,0.0,9.515928268432617
2022-06-25 16:15:00,77.42168426513672,6.564116477966309,0.0,10.353283882141113
2022-06-25 16:30:00,78.74337005615234,6.233140468597412,0.0,13.074145317077637
2022-06-25 16:45:00,79.57070922851562,5.9168901443481445,0.0,24.262245178222656
2022-06-25 17:00:00,80.84698486328125,5.593073844909668,0.0,28.021141052246094
2022-06-25 17:15:00,82.55107116699219,5.452066421508789,0.0,20.930204391479492
2022-06-25 17:30:00,83.21131134033203,5.466604232788086,0.0,22.294593811035156
2022-06-25 17:45:00,84.58094024658203,5.441591262817383,0.0,24.17475128173828
2022-06-25 18:00:00,87.0025863647461,5.4598917961120605,0.0,18.370817184448242
2022-06-25 18:15:00,87.09870147705078,5.076053619384766,0.0,32.95106887817383
2022-06-25 18:30:00,87.07880401611328,4.719005107879639,0.0,34.254661560058594
2022-06-25 18:45:00,87.4391860961914,4.407463073730469,0.0,44.30960464477539
2022-06-25 19:00:00,87.51174926757812,4.013149261474609,0.0,49.291038513183594
2022-06-25 19:15:00,87.35501098632812,3.91477108001709,0.0,42.39604949951172
2022-06-25 19:30:00,87.48770141601562,3.740079164505005,0.0,51.470096588134766
2022-06-25 19:45:00,88.11492919921875,3.4980790615081787,0.0,58.400875091552734
2022-06-25 20:00:00,87.50011444091797,3.2340264320373535,0.0,70.89400482177734
2022-06-25 20:15:00,88.05197143554688,3.212442636489868,0.0,85.3779067993164
2022-06-25 20:30:00,89.01142120361328,3.154165744781494,0.0,88.76995086669922
2022-06-25 20:45:00,88.7874526977539,3.203054904937744,0.0,96.09387969970703
2022-06-25 21:00:00,89.87968444824219,3.196505546569824,0.0,96.3753433227539
2022-06-25 21:15:00,88.34972381591797,3.176140308380127,0.0,100.51728057861328
2022-06-25 21:30:00,87.5677719116211,3.3075146675109863,0.0,114.99642944335938
